Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634f3625ad3d214792921613,60c01094688843d724b93ae6,APPROVED,2022-10-18T23:26:29.215000Z,2022-10-18T23:50:06.482000Z,2022-10-18T23:50:07.052000Z,2022-10-18T23:50:06.992467Z,1418,175F631D,99,Man (including Trans Male/Trans Man),"English, Spanish",Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Science, Video Games, Literature",33,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time,
634f363bfc88df9bae40164d,5e3da5f33fc91001316d8a46,APPROVED,2022-10-18T23:26:55.923000Z,2022-10-18T23:43:35.575000Z,2022-10-18T23:43:36.028000Z,2022-10-18T23:43:35.966423Z,1000,175F631D,107,Woman (including Trans Female/Trans Woman),"Bengali, Hindi, English",Doctorate degree (PhD/other),No,"No, I have no issues seeing colours","Music, Travelling, Politics",26,Female,Asian,India,United Kingdom,India,Bengali,Yes,Part-Time,
634f363e76f96fc742663708,5d1e501e755c59001709a785,APPROVED,2022-10-18T23:26:54.659000Z,2022-10-18T23:38:34.592000Z,2022-10-18T23:38:35.041000Z,2022-10-18T23:38:34.978481Z,700,175F631D,222,Man (including Trans Male/Trans Man),"English, Portuguese",Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Music, Video Games, Literature",32,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time,
634f36477c3e9d7499e3acd1,5ef47e3b2f85d7042e2dfa81,APPROVED,2022-10-18T23:27:03.017000Z,2022-10-18T23:37:35.307000Z,2022-10-18T23:37:35.697000Z,2022-10-18T23:37:35.630321Z,633,175F631D,198,Man (including Trans Male/Trans Man),"English, Portuguese",Graduate degree (MA/MSc/MPhil/other),Yes,"No, I have no issues seeing colours","Science, Video Games, Politics",25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,
634f36473782ed8c27c430f9,5f2821cb25deb5052ffe1ba9,APPROVED,2022-10-18T23:27:03.795000Z,2022-10-18T23:37:05.493000Z,2022-10-18T23:37:05.924000Z,2022-10-18T23:37:06.386745Z,602,175F631D,246,Man (including Trans Male/Trans Man),English,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Economics, Health & Fitness, Video Games",26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
634f364ee6c65d65c53a7a93,60fcb40b040f0d74eefd1328,APPROVED,2022-10-18T23:27:10.812000Z,2022-10-18T23:44:16.859000Z,2022-10-18T23:44:17.309000Z,2022-10-18T23:44:17.245299Z,1027,175F631D,57,Woman (including Trans Female/Trans Woman),"English, French, Russian",Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Health & Fitness, Music, Travelling",24,Female,White,Russian Federation,Canada,Russian Federation,English,No,Full-Time,
634f3654757782e791c430fa,613d4019856e604a39c373a7,APPROVED,2022-10-18T23:27:16.283000Z,2022-10-18T23:55:56.015000Z,2022-10-18T23:55:56.478000Z,2022-10-18T23:55:56.405966Z,1720,175F631D,66,Woman (including Trans Female/Trans Woman),"English, Spanish",Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Art, Literature, Travelling",24,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time,
634f3656e21c4f6b0cc08524,5f930e96235c9109694de5be,APPROVED,2022-10-18T23:27:18.050000Z,2022-10-18T23:44:39.527000Z,2022-10-18T23:44:39.979000Z,2022-10-18T23:44:39.914784Z,1042,175F631D,87,Woman (including Trans Female/Trans Woman),"English, Spanish",Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Art, Travelling, Music",38,Female,White,Mexico,Mexico,Mexico,Spanish,No,Part-Time,
634f365aae86079eced92ba4,5a7875355292b80001227f63,APPROVED,2022-10-18T23:27:22.307000Z,2022-10-18T23:58:33.214000Z,2022-10-18T23:58:33.835000Z,2022-10-18T23:58:33.754788Z,1871,175F631D,369,Man (including Trans Male/Trans Man),"Russian, Estonian, English",Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Psychology, Video Games, Entrepreneurship",28,Male,White,Estonia,Estonia,Estonia,Russian,No,Full-Time,
634f365b2d94f5175a5a0fb1,600799201d8b0d2b3ca9ab19,APPROVED,2022-10-18T23:27:23.522000Z,2022-10-18T23:43:52.003000Z,2022-10-18T23:43:52.461000Z,2022-10-18T23:43:52.412495Z,989,175F631D,55,Man (including Trans Male/Trans Man),"Portuguese, English",Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Politics, Video Games, Economics",24,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,Yes,Other,
634f3625ad3d214792921613,60c01094688843d724b93ae6,APPROVED,2022-10-18T23:26:29.215000Z,2022-10-18T23:50:06.482000Z,2022-10-18T23:50:07.052000Z,2022-10-18T23:50:06.992000Z,1418,175F631D,138,,"English, Spanish",,,"No, I have no issues seeing colours","Science, Video Games, Literature",35,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time,Not Applicable
634f363bfc88df9bae40164d,5e3da5f33fc91001316d8a46,APPROVED,2022-10-18T23:26:55.923000Z,2022-10-18T23:43:35.575000Z,2022-10-18T23:43:36.028000Z,2022-10-18T23:43:35.966000Z,1000,175F631D,185,,DATA_EXPIRED,,,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
634f363e76f96fc742663708,5d1e501e755c59001709a785,APPROVED,2022-10-18T23:26:54.659000Z,2022-10-18T23:38:34.592000Z,2022-10-18T23:38:35.041000Z,2022-10-18T23:38:34.978000Z,700,175F631D,365,,"Portuguese, English",,,"No, I have no issues seeing colours","Music, Video Games, Literature",33,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time,Not Applicable
634f36473782ed8c27c430f9,5f2821cb25deb5052ffe1ba9,APPROVED,2022-10-18T23:27:03.795000Z,2022-10-18T23:37:05.493000Z,2022-10-18T23:37:05.924000Z,2022-10-18T23:37:06.386000Z,602,175F631D,344,,English,,,"No, I have no issues seeing colours","Economics, Health & Fitness, Video Games",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
634f36477c3e9d7499e3acd1,5ef47e3b2f85d7042e2dfa81,APPROVED,2022-10-18T23:27:03.017000Z,2022-10-18T23:37:35.307000Z,2022-10-18T23:37:35.697000Z,2022-10-18T23:37:35.630000Z,633,175F631D,335,,"English, Portuguese",,,"No, I have no issues seeing colours","Science, Video Games, Politics",27,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
634f364ee6c65d65c53a7a93,60fcb40b040f0d74eefd1328,APPROVED,2022-10-18T23:27:10.812000Z,2022-10-18T23:44:16.859000Z,2022-10-18T23:44:17.309000Z,2022-10-18T23:44:17.245000Z,1027,175F631D,70,,"English, French, Russian",,,"No, I have no issues seeing colours","Health & Fitness, Music, Travelling",25,Female,White,Russian Federation,Canada,Russian Federation,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
634f3654757782e791c430fa,613d4019856e604a39c373a7,APPROVED,2022-10-18T23:27:16.283000Z,2022-10-18T23:55:56.015000Z,2022-10-18T23:55:56.478000Z,2022-10-18T23:55:56.405000Z,1720,175F631D,180,,"English, Spanish",,,"No, I have no issues seeing colours","Art, Literature, Travelling",26,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time,Not Applicable
634f3656e21c4f6b0cc08524,5f930e96235c9109694de5be,APPROVED,2022-10-18T23:27:18.050000Z,2022-10-18T23:44:39.527000Z,2022-10-18T23:44:39.979000Z,2022-10-18T23:44:39.914000Z,1042,175F631D,131,,"English, Spanish",,,"No, I have no issues seeing colours","Art, Psychology, Sociology",40,Female,White,Mexico,Mexico,Mexico,Spanish,No,Part-Time,Not Applicable
634f365aae86079eced92ba4,5a7875355292b80001227f63,APPROVED,2022-10-18T23:27:22.307000Z,2022-10-18T23:58:33.214000Z,2022-10-18T23:58:33.835000Z,2022-10-18T23:58:33.754000Z,1871,175F631D,527,,"Estonian, Russian, English",,,"No, I have no issues seeing colours","Psychology, Video Games, Entrepreneurship",30,Male,White,Estonia,Estonia,Estonia,Russian,No,Full-Time,Not Applicable
634f365b2d94f5175a5a0fb1,600799201d8b0d2b3ca9ab19,APPROVED,2022-10-18T23:27:23.522000Z,2022-10-18T23:43:52.003000Z,2022-10-18T23:43:52.461000Z,2022-10-18T23:43:52.412000Z,989,175F631D,93,,"Portuguese, English",,,"No, I have no issues seeing colours","Politics, Video Games, Economics",25,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
