,,,70,90,53,16,89,40,8,27,29,15,28,9,,,,,COLORBLIND,,,27,34,19,9,37,10,3,21,5,18,3
ID,Colorblind - Yes/1 or No/0,Pink Party: How did you inform your answer?,Color perception,Color associations,Emotional exp,Past experiences,Stereotype/Culture,Meaning/Context,Past usage/responses,Logic/abstract instinct,Embodied Instinct,Misunderstanding,Arb/Guess,No answer,"Painter (1), ChatGPT(2), Colorseeing (3), Colorblind (4)",,,,ID,Colorblind - Yes/1 or No/0,Pink Party: How did you inform your answer?,Color perception,Color associations,Emotional exp,Past experiences,Stereotype/Culture,Meaning/Context,Past usage/responses,Instinct,Misunderstanding,Arb/Guess,No answer
CM002,0,The color pink made me think of frilly things,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM004,0,"I thought of what the color ""pink"" is usually associated with",1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM005,0,I based it off of the color pink and its associations.,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM006,0,By thinking about the color.,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM007,0,Associating the color with the theme of the party,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM008,0,The feeling and imagery associated with pink,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM009,0,"I associate pink with happiness and cuteness, possibly from social stigma and other social influences",,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
CM010,0,I thought of expensive things when I heard the word pink,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM011,0,What society has said about the color pink,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
cm013,0,Based on references in pop culture.,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
CM015,0,I thought about the emotions that pink inspires in people and what I interpret pink to mean.,,1,1,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
CM016,0,"colors of clothes and lights, chatter",1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM017,0,Pink is associated with lighthearted fun in my mind; blushing,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM018,0,Pink is affection,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM019,0,pink is warm and fuzzy,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM020,0,associates pink with feelings of happiness,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM021,1,Pink is bright and makes me think of happiness,,1,1,,,,,,,,,,4,,,,CM021,1,Pink is bright and makes me think of happiness,,1,1,,,,,,,,
CM022,1,Pink is a positive color,,,1,,,,,,,,,,4,,,,CM022,1,Pink is a positive color,,,1,,,,,,,,
CM023,1,Flamingos are pink and flamboyant,1,,,,,,,,,,,,4,,,,CM023,1,Flamingos are pink and flamboyant,1,,,,,,,,,,
CM024,1,I thought of the color pink as flamboyant like flamingos,1,,,,,,,,,,,,4,,,,CM024,1,I thought of the color pink as flamboyant like flamingos,1,,,,,,,,,,
CM025,0,"Pink is associated with innocence, infantile",,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
CM026,1,Past experience,,,,1,,,,,,,,,4,,,,CM026,1,Past experience,,,,1,,,,,,,
CM027,1,pink is associated with certain activities,,1,,,1,,,,,,,,4,,,,CM027,1,pink is associated with certain activities,,1,,,1,,,,,,
CM028,1,Pink is the color of love,,1,,,,,,,,,,,4,,,,CM028,1,Pink is the color of love,,1,,,,,,,,,
CM029,1,pink is vivid,1,,,,,,,,,,,,4,,,,CM029,1,pink is vivid,1,,,,,,,,,,
CM030,1,Based on the generic symbols for a man and women. In this case the women is pink.,,,,,1,,,,,,,,4,,,,CM030,1,Based on the generic symbols for a man and women. In this case the women is pink.,,,,,1,,,,,,
CM031,1,"I thought of the general vibes of. ""pink"" personality",,1,1,,1,,,,,,,,4,,,,CM031,1,"I thought of the general vibes of. ""pink"" personality",,1,1,,1,,,,,,
CM032,1,"I know that pink is typically associated with happier activities and is a ""bright"" color",1,1,1,,,,,,,,,,4,,,,CM032,1,"I know that pink is typically associated with happier activities and is a ""bright"" color",1,1,1,,,,,,,,
CM033,1,pink is associated with feminine traits and extraversion,,1,,,1,,,,,,,,4,,,,CM033,1,pink is associated with feminine traits and extraversion,,1,,,1,,,,,,
CM034,1,Pink is commonly a feminine characteristic,,,,,1,,,,,,,,4,,,,CM034,1,Pink is commonly a feminine characteristic,,,,,1,,,,,,
CM035,1,If it was pink party then it must have had pink colors as the theme.,1,,,,,,,,,,,,4,,,,CM035,1,If it was pink party then it must have had pink colors as the theme.,1,,,,,,,,,,
CM036,1,Pink is commonly a feminine characteristic,,,,,1,,,,,,,,4,,,,CM036,1,Pink is commonly a feminine characteristic,,,,,1,,,,,,
CM038,1,tried to think of what 'pink' represents in society as other may trying to express with their words - common beliefs about 'pink',,,,,1,1,,,,,,,4,,,,CM038,1,tried to think of what 'pink' represents in society as other may trying to express with their words - common beliefs about 'pink',,,,,1,1,,,,,
CM039,1,Social constructs around pink being related to femininity,,,,,1,,,,,,,,4,,,,CM039,1,Social constructs around pink being related to femininity,,,,,1,,,,,,
CM040,1,pink makes me think of blushing,1,,1,,,,,,,,,,4,,,,CM040,1,pink makes me think of blushing,1,,1,,,,,,,,
CM041,1,Stereotypes of pink being associated with girls + having seen my younger sister's very pink birthday parties + having seen barbie,1,1,,1,1,,,,,,,,4,,,,CM041,1,Stereotypes of pink being associated with girls + having seen my younger sister's very pink birthday parties + having seen barbie,1,1,,1,1,,,,,,
P001,0,By feeling,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
P002,0,Personal social experiences and feelings of friends,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
P003,0,none,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
P004,0,full of love,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P005,0,Party,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P006,0,I informed my answer by using the same method that was used to inform the question.,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
P007,0,My feeling,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
P008,0,You also should not feel pressured into working overtime because the company makes you feel like you need to or else they will fire you.,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
P009,0,First reaction,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,
P010,0,"I think that when somebody says, ""It was a very pink party,"" they mean the party was very light and airy. They were probably using a lot of pastel colors and maybe even some white. The whole thing probably looked really soft, like something from a beach vacation ad. When I think about pink, I think about the color of cotton candy or bubble gum‚Äîit's bright and sweet, but it also has a little bit of sadness to it because it reminds me of toys that are too old for me anymore. That's why I think this person might have used pastel colors (like pink) or white‚Äîto make the room look like an ice cream cone or cotton candy or something else sweetly nostalgic.",1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P011,0,A pink party might conjure up images of Girls' Generation's dreamy and happy days,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P012,0,It's a party that is very pink.,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P013,0,I informed my answer by looking at the question and thinking about how it would be answered. I also used a dictionary to find out what words meant.,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
P014,0,I felt it's right,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,
P015,0,brain,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
P016,0,In my own mind,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
P017,0,Pink being a colour,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P018,0,Pink colour means acctrativeness,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P019,0,"The bright pink color is usually associated with happy and cheerful one. It gives a person a kind of relaxed, sweet and happy feeling, often with girls, fairy tales, and romantic feelings together.",,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
P020,0,Color perception,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P021,0,I used the internet to find information about the topic.,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
P022,0,Based on color,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P023,0,Through my understanding and perception of the sentence,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P024,0,According to the literal meaning of this sentence.,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P025,0,"As a male painter, I know that the word ""pink"" has two meanings. The first is a color. It's a bright red color, so it's not really very pink at all. The second meaning is that it has to do with female anatomy, which I am not too familiar with (I like girls, but don't know too much about their bodies). So when someone says, ""It was a very pink party,"" they are saying that there were lots of women at this party.",1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
P026,0,Pink is great in my heart,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P027,0,Moment of intimacy and warmth.,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P028,0,idea,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
P029,0,I thought about it,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
P030,0,Based on the colour view feeling,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P031,0,Double Dating,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P032,0,"I would imagine a party that's very pink would be full of women in hot pink dresses, with lots of tissue paper and streamers floating through the air. There might also be a lot of red wine and other party foods, with pink tablecloths and napkins.",1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
P033,0,"I would explain that it is a very pink party because I can see the party reflected on the wall. The wall is pink and has been painted pink, so when I look at the wall, it looks like the party.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
P034,0,the hue itself brings a calm feeling to me. My personal reaction to the color.,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
PR_001,0,Just my association with the colour in relation to a party,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_002,0,It just comes up,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_003,0,The personalities of the people that enjoy/wear those colors.,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_004,0,I associated pink with girls,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_005,1,assumption,,,,,,,,,,,1,,4,,,,PR_005,1,assumption,,,,,,,,,,1,
PR_006,1,I use how the colour looked to give my answer,1,,,,,,,,,,,,4,,,,PR_006,1,I use how the colour looked to give my answer,1,,,,,,,,,,
PR_007,0,n/a,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,
PR_008,0,Stereotypical,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_009,1,Guessed,,,,,,,,,,,1,,4,,,,PR_009,1,Guessed,,,,,,,,,,1,
PR_010,0,I just see pink as a lively colour,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_011,0,As i felt it was the most best option,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_012,0,Pink is bright and so I associated the party as being quite upbeat and energetic,1,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_013,0,pink associate with girls typically,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_014,0,I thought how the colour would represent the event,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_015,1,usually pink is associated with positivity such as Valentine's,,1,1,,1,,,,,,,,4,,,,PR_015,1,usually pink is associated with positivity such as Valentine's,,1,1,,1,,,,,,
PR_016,0,pink is traditionally associated with female things.,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_017,0,I thought about what the atmosphere of a party is usually like and matched it with how I felt about the colour pink,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_018,0,Pink is associated with happiness and love so that's how I came up with my anwer,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_019,0,Associated the color with what I would believe the mood would be.,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_020,1,I took what the sentence would mean to me,,,,,,1,,,,,,,4,,,,PR_020,1,I took what the sentence would mean to me,,,,,,1,,,,,
PR_021,0,It was first thing that came to mind,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_022,0,pink always strikes me as a frivolous and female colour,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_023,0,The images of what I thought it was appeared visually in my mind. In this case a girl birthday party surrounded in in pink decorations then it went onto an hen party with a group of women dressed in over revealing pink clothing.,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_024,0,Logic,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,
PR_025,1,The only colour association I have with pink is with gender stereotypes,,1,,,1,,,,,,,,4,,,,PR_025,1,The only colour association I have with pink is with gender stereotypes,,1,,,1,,,,,,
PR_026,0,Pink seems a very stereotypical colour and is used in many products to indicate a soft feminine character. Not much variety in pink for me.,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_027,1,My knowledge,,,,,,,,1,,,,,4,,,,PR_027,1,My knowledge,,,,,,,,1,,,
PR_028,0,its just how i felt,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,
PR_029,0,From the colour of pink which is bright and connotes excitement,1,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_030,1,I didn’t,,,,,,,,,,,,1,4,,,,PR_030,1,I didn’t,,,,,,,,,,,1
PR_031,0,Pink and party reminds me of Pinkie Pie from MLP.,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_032,0,Thought how I'd mean it if I said it myself.,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
PR_033,1,"How the colour made me feel, my association of it",,1,1,,,,,,,,,,4,,,,PR_033,1,"How the colour made me feel, my association of it",,1,1,,,,,,,,
PR_034,0,i tried to guess the meaning,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_035,0,pink is a traditionally feminine colour,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_036,1,"Most of the time the colour pink is associated with girls. So if is a pink party, is must be a party with girls playing around",,1,,,1,,,,,,,,4,,,,PR_036,1,"Most of the time the colour pink is associated with girls. So if is a pink party, is must be a party with girls playing around",,1,,,1,,,,,,
PR_037,0,Just my thoughts,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,
PR_038,1,I thought of the first correlation with the colour pink,,1,,,,,,,1,,,,4,,,,PR_038,1,I thought of the first correlation with the colour pink,,1,,,,,,1,,,
PR_039,0,NA,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,
PR_040,0,I went with a gut feeling reaction,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,
PR_041,0,My perception of the color pink and what I feel its associated with informed my answer.,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_042,1,I imagined the party,1,,,,,,,,,,,,4,,,,PR_042,1,I imagined the party,1,,,,,,,,,,
PR_043,0,Just from my experience of parties,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_044,0,I just thought of the most reasonable and logical explanation.,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,
PR_045,1,Not too sure,,,,,,,,,,,1,,4,,,,PR_045,1,Not too sure,,,,,,,,,,1,
PR_046,0,I know loads of mates' young daughters who all enjoy a girlie party when they are nippers. very stereotyped !!,,,,1,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_047,0,Because it's the kind of thing that students do,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_048,0,By using how I would feel.,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,
PR_049,0,General knowledge,,,,,1,,,1,,,,,3,,,,,,,,,,,,,,,,,
PR_050,0,I answered what came to mind.,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_051,1,Just a gut instinct,,,,,,,,,1,,,,4,,,,PR_051,1,Just a gut instinct,,,,,,,,1,,,
PR_052,0,Just on what I thought,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,
PR_053,0,I just think pink is the color that is associated with being in a happy mood.,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_054,0,I wrote it down.,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,
PR_055,0,A joyfull colour,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_056,1,I more guessed,,,,,,,,,,,1,,4,,,,PR_056,1,I more guessed,,,,,,,,,,1,
PR_057,0,Gender stereotypes,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_058,0,I just said what I felt,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,
PR_059,0,Very pink to me indicating a young girls preferred colour maybe,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_060,0,Based on observatons regarding the characters involved and their actions.,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_061,0,Pink is generally associated as a girl's colour,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_062,1,Associations with pink and parties,,1,,,1,,,,,,,,4,,,,PR_062,1,Associations with pink and parties,,1,,,1,,,,,,
PR_063,1,By writing it,,,,,,,,,,1,,,4,,,,PR_063,1,By writing it,,,,,,,,,1,,
PR_064,0,Just how I felt about it if I was at a pink party,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_065,1,IT WAS THE ONLY THOUGHT THAT CAME TO MIND,,,,,,,,1,,,,,4,,,,PR_065,1,IT WAS THE ONLY THOUGHT THAT CAME TO MIND,,,,,,,,1,,,
PR_066,1,It feels like that color doesnt have much meaning to me as far as excitement.,,,,,,1,,,,,1,,4,,,,PR_066,1,It feels like that color doesnt have much meaning to me as far as excitement.,,,,,,1,,,,1,
PR_067,1,Thinking,,,,,,,,,,1,,,4,,,,PR_067,1,Thinking,,,,,,,,,1,,
PR_068,0,Pink and party usually indicates youth and fun,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_069,1,I have no idea,,,,,,,,,,,1,,4,,,,PR_069,1,I have no idea,,,,,,,,1,,1,
PR_070,0,societal bias,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_071,0,A guess on what pink could mean in that context,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
PR_072,1,Just what I associate the color pink with.,,1,,,,,,,,,,,4,,,,PR_072,1,Just what I associate the color pink with.,,1,,,,,,,,,
PR_073,0,Thinking,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,
PR_074,1,don't know,,,,,,,,,,,1,,4,,,,PR_074,1,don't know,,,,,,,,1,,1,
PR_075,0,by relating the colour,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_076,0,i associate pink with femininity,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_077,0,Pink ü©∑ is a colour that girls love,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_078,0,Based it on pink being a stereotypical female colour,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_079,0,NA,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,
PR_080,0,First thing that appeared in my head,1,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_081,0,Brightness of the colour,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_082,0,Girls like the colour pink,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_083,0,Pink tends to be a very bright and pleasant colour.,1,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_084,0,From the fact that historically the colour pink is associated with femininity.,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_085,0,I know what pink usually means,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
PR_086,0,I associate the colour pink with being happy,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_087,1,"i've always thought in colors, they define situations better. there is no logic to this kind of definitions, so there is no need to worry if I'm wrong, I can only be right for me and wrong for others",1,,,,,,,,1,,,,4,,,,PR_087,1,"i've always thought in colors, they define situations better. there is no logic to this kind of definitions, so there is no need to worry if I'm wrong, I can only be right for me and wrong for others",1,,,,,,,1,,,
PR_088,1,Pink is associated with girls,,1,,,1,,,,,,,,4,,,,PR_088,1,Pink is associated with girls,,1,,,1,,,,,,
PR_089,1,Through previous responses,,,,,,,1,,,,,,4,,,,PR_089,1,Through previous responses,,,,,,,1,,,,
PR_090,1,Experience.,,,,1,,,,,,,,,4,,,,PR_090,1,Experience.,,,,1,,,,,,,
PR_091,1,it was a guess..,,,,,,,,,,,1,,4,,,,PR_091,1,it was a guess..,,,,,,,,,,1,
PR_092,0,I guessed what pink is in the context,,,,,,1,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_093,1,Based on experience of family parties,,,,1,,,,,,,,,4,,,,PR_093,1,Based on experience of family parties,,,,1,,,,,,,
PR_094,0,Simply an association with the colour pink.,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_095,0,I can tell from the content.,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
PR_096,1,Gut reaction to sentence,,,,,,1,,,1,,,,4,,,,PR_096,1,Gut reaction to sentence,,,,,,1,,1,,,
PR_097,0,It was based on one instance I heard it in a social context.,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_098,0,I couldn't,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_099,0,I associate pink colour with females being playful,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_100,1,Pink is for girls usually.,,,,,1,,,,,,,,4,,,,PR_100,1,Pink is for girls usually.,,,,,1,,,,,,
PR_101,0,I based it on a lifetime of speaking English as my first language,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,
PR_102,0,Stereotypes,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_103,0,A wild guess,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_104,1,"I just thought about what pink might mean in the context of a party, contrasted with what a party of a different colour might mean.",,,,,,1,,,,,,,4,,,,PR_104,1,"I just thought about what pink might mean in the context of a party, contrasted with what a party of a different colour might mean.",,,,,,1,,,,,
PR_105,1,Past experiences of stereotypes.,,,,1,1,,,,,,,,4,,,,PR_105,1,Past experiences of stereotypes.,,,,1,1,,,,,,
PR_106,0,Boldly,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,
PR_107,0,Just an instant guess really.,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_108,1,Gut feeling,,,,,,,,,1,,,,4,,,,PR_108,1,Gut feeling,,,,,,,,1,,,
PR_109,0,Thought about it,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,
PR_110,0,I guessed what the colour could mean in the context of the sentence.,,,,,,1,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_111,1,Gender roles and culture,,,,,1,,,,,,,,4,,,,PR_111,1,Gender roles and culture,,,,,1,,,,,,
PR_112,0,associations with the colour from nature and culture,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_113,1,Guess,,,,,,,,,,,1,,4,,,,PR_113,1,Guess,,,,,,,,,,1,
PR_114,0,based on my own experiences,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_115,0,how i felt with the color,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_116,1,Pink is a happy color,,,1,,,,,,,,,,4,,,,PR_116,1,Pink is a happy color,,,1,,,,,,,,
PR_117,0,Just from imagination and past perceptions.,1,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_118,0,Pink is usually related to feminine things,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_119,1,Colours are often associated with gender (pink = girls) and in some instances they are associated with emotions (blue = sad),,1,1,,1,,,,,,,,4,,,,PR_119,1,Colours are often associated with gender (pink = girls) and in some instances they are associated with emotions (blue = sad),,1,1,,1,,,,,,
PR_120,1,Imagined a 'pink party'.,1,,,,,,,,,,,,4,,,,PR_120,1,Imagined a 'pink party'.,1,,,,,,,,,,
PR_121,0,I answered based on my perception of the color pink and how bright it is as well as its traditional link as a feminine color.,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_122,0,Thinking of the colour,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_123,0,"Based on my feelings towards an old saying ""tickled pink"".",,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,
PR_124,0,Preconceived ideas,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_125,1,Just a guess,,,,,,,,,,,1,,4,,,,PR_125,1,Just a guess,,,,,,,,,,1,
PR_126,0,I had a picture in my mind of people talking and socialising,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_127,0,pink thought in the pink happy,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_128,0,informative,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,
PR_129,0,Natural association,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,
PR_130,0,Just what i think,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,
PR_131,1,I have no idea,,,,,,,,,,,1,,4,,,,PR_131,1,I have no idea,,,,,,,,1,,1,
PR_132,1,Pink feels like it would describe something relaxing and chilled out.,,,1,,,,,,,,,,4,,,,PR_132,1,Pink feels like it would describe something relaxing and chilled out.,,,1,,,,,,,,
PR_133,0,I guessed,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_134,0,Saw it in my mind,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_135,1,I just thought what could mean,,,,,,1,,,,,,,4,,,,PR_135,1,I just thought what could mean,,,,,,1,,,,,
PR_136,1,Stereotypes,,,,,1,,,,,,,,4,,,,PR_136,1,Stereotypes,,,,,1,,,,,,
PR_137,0,"Traditional colour favoured by females in our society, altough these stereotypes are changing",,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
PR_138,0,I guessed,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,
PR_139,1,it is what i associate with pink,,1,,,,,,,,,,,4,,,,PR_139,1,it is what i associate with pink,,1,,,,,,,,,
PR_140,0,In the context I interpreted pink as fun / light hearted,,,1,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
PR_141,1,Feeling and deduction,,,,,,1,,1,1,,,,4,,,,PR_141,1,Feeling and deduction,,,,,,1,,1,,,
PR_142,1,Colour association,,1,,,,,,,,,,,4,,,,PR_142,1,Colour association,,1,,,,,,,,,
PR_143,0,a general feeling,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,
PR_144,0,I used my perception of the color pink to infer what a pink party is.,1,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
PR_145,0,From the Pink Picnic l wrote about in 1b,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,
PR_146,1,The colour of objects at the party,1,,,,,,,,,,,,4,,,,PR_146,1,The colour of objects at the party,1,,,,,,,,,,
PR_147,1,Not sure what it means fully,,,,,,,,,,1,1,,4,,,,PR_147,1,Not sure what it means fully,,,,,,,,,1,1,
