,,,,27,47,2,7,15,21,28,52,163,14,12,13,8,5,,,,,,COLORBLIND,,,10,2,4,17,9,6,8,12,71,9,5,3,5
ID,,Colorblind - Yes/1 or No/0,Red Alert: How did you inform your answer?,Color perception,Color association,Auditory perception,Emotional experience,Past experiences,Stereotype/Culture,Media,Meaning/Context,Past usage/responses,Logic/abstract instinct,Embodied Instinct,Misunderstanding,Arb/Guess,No answer,"Painter (1), ChatGPT(2), Colorseeing (3), Colorblind (4)",,,,,ID,Colorblind - Yes/1 or No/0,Red Alert: How did you inform your answer?,Color perception,Auditory perception,Emotional experience,Color association,Past experiences,Stereotype/Culture,Media,Meaning/Context,Past usage/responses,Instinct,Misunderstanding,Arb/Guess,No answer
CM002,,0,It's a phrase I've heard before,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM004,,0,"I think I may have heard this phrase before used in this way, also ""code red"" is usually used as the highest level of danger",,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM005,,0,I based it off the fact that red is associated with alarms and bad situations.,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM006,,0,I've heard the phrase before,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM007,,0,"Red is associated with extreme, emergent",,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM008,,0,"Knowledge of the phrase above, and strong cultural association with the color red, entertainment as well",,,,,,1,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM009,,0,"Context was taken from the common phrase ""red alert""",,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM010,,0,Heard the saying before,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM011,,0,Scenarios dealing with danger associated with the color red,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
cm013,,0,Based off of movies.,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM015,,0,"When there are alert systems, red is typically the highest/most dangerous level of alert.",,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM016,,0,Considered red as having high priority,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM017,,0,I've heard red alert used in movies to refer to an alarm for a disastrous event,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM018,,0,Red is very noticeable to everyone,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM019,,0,I've heard this phrase before and know how it is used,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM020,,0,usually red alert is tied with a code relaying matters of high importance,,,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM021,,1,This is a common phrase,,,,,,,,,1,,,,,,4,,,,,CM021,1,This is a common phrase,,,,,,,,,1,,,,
CM022,,1,Red alert means to be aware of something that might happen,,,,,,,,1,,,,,,,4,,,,,CM022,1,Red alert means to be aware of something that might happen,,,,,,,,1,,,,,
CM023,,1,I think of an red alarm going off,1,,1,,,,,,,,,,,,4,,,,,CM023,1,I think of an red alarm going off,1,1,,,,,,,,,,,
CM024,,1,I think of a red siren/alarm going off,1,,1,,,,,,,,,,,,4,,,,,CM024,1,I think of a red siren/alarm going off,1,1,,,,,,,,,,,
CM025,,0,"Red is alarming, attention grabber",1,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
CM026,,1,Scenes from movies/films,,,,,,,1,,,,,,,,4,,,,,CM026,1,Scenes from movies/films,,,,,,,1,,,,,,
CM027,,1,this is a common phrase,,,,,,,,,1,,,,,,4,,,,,CM027,1,this is a common phrase,,,,,,,,,1,,,,
CM028,,1,Red means something is serious and should paid attention to.,,1,,,,,,,,,,,,,4,,,,,CM028,1,Red means something is serious and should paid attention to.,,,,1,,,,,,,,,
CM029,,1,red is stressful,1,,,1,,,,,,,,,,,4,,,,,CM029,1,red is stressful,1,,1,,,,,,,,,,
CM030,,1,this is a common phrase,,,,,,,,,1,,,,,,4,,,,,CM030,1,this is a common phrase,,,,,,,,,1,,,,
CM031,,1,I thought of the red in firetrucks,1,,,,,,,,,,,,,,4,,,,,CM031,1,I thought of the red in firetrucks,1,,,,,,,,,,,,
CM032,,1,I have heard it before,,,,,,,,,1,,,,,,4,,,,,CM032,1,I have heard it before,,,,,,,,,1,,,,
CM033,,1,"colloquial, I've heard this before",,,,,,,,,1,,,,,,4,,,,,CM033,1,"colloquial, I've heard this before",,,,,,,,,1,,,,
CM034,,1,I've heard the expression many times,,,,,,,,,1,,,,,,4,,,,,CM034,1,I've heard the expression many times,,,,,,,,,1,,,,
CM035,,1,this is a common phrase,,,,,,,,,1,,,,,,4,,,,,CM035,1,this is a common phrase,,,,,,,,,1,,,,
CM036,,1,this is a common phrase,,,,,,,,,1,,,,,,4,,,,,CM036,1,this is a common phrase,,,,,,,,,1,,,,
CM038,,1,Common phrase that is used and I've used to describe the exact situation,,,,,,,,,1,,,,,,4,,,,,CM038,1,Common phrase that is used and I've used to describe the exact situation,,,,,,,,,1,,,,
CM039,,1,"Red is a stress symbol, physical red alert lights and signs",1,,,1,,,,,,,,,,,4,,,,,CM039,1,"Red is a stress symbol, physical red alert lights and signs",1,,1,,,,,,,,,,
CM040,,1,Danger signs are red,1,1,,,,,,,,,,,,,4,,,,,CM040,1,Danger signs are red,1,,,1,,,,,,,,,
CM041,,1,Red typically implies danger or an extreme,,1,,,,1,,,,,,,,,4,,,,,CM041,1,Red typically implies danger or an extreme,,,,1,,1,,,,,,,
P001,,0,I know it,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
P002,,0,Normality,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
P003,,0,color,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P004,,0,This can cause people to feel anxious and worried.,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P005,,0,conditioned reflex,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
P006,,0,That's what I was thinking,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
P007,,0,According to the words' red 'and' warning '.,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P009,,0,About what happens in everyday life,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P010,,0,From the first impression of the color,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P011,,0,Common knowledge,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
P012,,0,About my inner vision of red,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P013,,0,Your own personal judgment.,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
P014,,0,By feeling,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
P015,,0,My feeling,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
P016,,0,imaginary,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P017,,0,concept of colors,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P018,,0,The experience from the book,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P019,,0,Red,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P020,,0,"Through my understanding and perception of the sentence, from which I get",,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P021,,0,Red represents importance and gives people a sense of crisis,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P022,,0,A red alert is an indication of danger,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P023,,0,For TV experience and news,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P024,,0,Red always means danger in colors so i used the knowledge i have in colors,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P026,,0,Red always for emergencies or danger,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P027,,0,First reaction,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
P028,,0,Associative reality,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
P029,,0,subconsciousness,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
P030,,0,by feeling,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
P031,,0,The bright red color corresponds to the sense of danger,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P032,,0,feel,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
P033,,0,Utilizing Perception of Color,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
P034,,0,The color makes me feel this way. Not sure how to answer this tbh,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
PR_001,,0,It's a common phrase,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
PR_002,,0,I don't know,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
PR_003,,0,That phrase is used in movies.,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_004,,0,heard of this before on films,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_005,,1,experience,,,,,,,,,1,,,,,,3,,,,,PR_005,1,experience,,,,,,,,,1,,,,
PR_006,,1,Used how the colour feels,1,,,1,,,,,,,,,,,3,,,,,PR_006,1,Used how the colour feels,1,,1,,,,,,,,,,
PR_007,,0,typed it,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,
PR_008,,0,CONTEXT,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_009,,1,Gut knowledge,,,,,,,,,,1,1,,,,3,,,,,PR_009,1,Gut knowledge,,,,,,,,,,1,,,
PR_010,,0,From what I have heard in the past plus red is synonymous with danger.,,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_011,,0,As i thought about the colour,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_012,,0,It is a well known phrase,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_013,,0,alert meaning,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_014,,0,I thought how the colour red would influence the event,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_015,,1,Red is usually used in miltary and government for critical situations,,,,,,1,,,,,,,,,3,,,,,PR_015,1,Red is usually used in miltary and government for critical situations,,,,,,1,,,,,,,
PR_016,,0,"This is a well-known phrase, and red always signifies the highest level of alert.",,1,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_017,,0,The word 'alert' means to be aware and red makes me think of danger,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_018,,0,Red alert usually means something serious or dangerous is about to happen,,,,,,1,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_019,,0,From the common phrase 'red alert'.,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_020,,1,I have heard the phrase before,,,,,,,,,1,,,,,,3,,,,,PR_020,1,I have heard the phrase before,,,,,,,,,1,,,,
PR_021,,0,It's a well known phrase,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_022,,0,It's just a phrase I'm familiar with,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_023,,0,It was the most logic idea and the thing I described appeared again in my head along with flashing red lights.,1,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,
PR_024,,0,Common sense,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_025,,1,It's a fairly common phrase,,,,,,,,,1,,,,,,3,,,,,PR_025,1,It's a fairly common phrase,,,,,,,,,1,,,,
PR_026,,0,"It seems the previous pink was referring to a feminine stereotype and so the red alert may, as an opposite, be alluding to male stereotypes. But in my culture red alert refers to a high level of risk or danger and trained people, men or women, are ready to deal with the situation.",,,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_027,,1,I know the phrase,,,,,,,,,1,,,,,,4,,,,,PR_027,1,I know the phrase,,,,,,,,,1,,,,
PR_028,,0,its how i felt,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,
PR_029,,0,Red colour which connotes danger,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_030,,1,I worked in aerospace and defence,,,,,1,,,,,,,1,,,3,,,,,PR_030,1,I worked in aerospace and defence,,,,,1,,,,,,1,,
PR_031,,0,Red Alert I know from movies means danger.,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_032,,0,Watching too much Star Trek and sci-fi in general.,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_033,,1,Because it is a common phrase,,,,,,,,,1,,,,,,3,,,,,PR_033,1,Because it is a common phrase,,,,,,,,,1,,,,
PR_034,,0,I have heard it before,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_035,,0,it's a fairly well known phrase,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_036,,1,If they are on red alert it usually nean they are on very high alert,,,,,,,,1,,,,,,,3,,,,,PR_036,1,If they are on red alert it usually nean they are on very high alert,,,,,,,,1,,,,,
PR_037,,0,My memory,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,
PR_038,,1,Red has a connotation with danger,,1,,,,,,,,,,,,,4,,,,,PR_038,1,Red has a connotation with danger,,,,1,,,,,,,,,
PR_039,,0,Red usually associated with emergencies,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_040,,0,Previous knowledge,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_041,,0,"My perception of the color red and ""on red alert"" is a common phrase that I've heard and seen used many times.",1,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_042,,1,From hearing this phrase before on several occasions,,,,,,,,,1,,,,,,3,,,,,PR_042,1,From hearing this phrase before on several occasions,,,,,,,,,1,,,,
PR_043,,0,From years of literature and television and movies hearing the phrase red alert,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_044,,0,"From prior knowledge on the meaning of ""red alert"".",,,,,,,,1,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_045,,1,Phrase,,,,,,,,,1,,,,,,3,,,,,PR_045,1,Phrase,,,,,,,,,1,,,,
PR_046,,0,"a well known saying red is used as it can be seen from afar, represents fire and therefore danger (be aware)",1,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_047,,0,"It's something I've picked up from media - movies, videogames etc.",,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_048,,0,By using how I feel.,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,
PR_049,,0,General knowledge,,,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_050,,0,having heard the phrase many times in my life,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_051,,1,Based on past military experinces,,,,,1,,,,,,,,,,3,,,,,PR_051,1,Based on past military experinces,,,,,1,,,,,,,,
PR_052,,0,I have heard this used many times and Red Alert is a common phrase.,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_053,,0,Red is the color associated with danger,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_054,,0,I wrote it down.,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,
PR_055,,0,It is a phrase,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_056,,1,Knowledge,,,,,,,,,1,1,,,,,3,,,,,PR_056,1,Knowledge,,,,,,,,,1,1,,,
PR_057,,0,Common association,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_058,,0,Just based on what I know 'on red alert' to mean,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_059,,0,Red being danger so there was a strong likelihood of something happening immediately,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_060,,0,"Because 'Red Alert' is a military/naval code for 'be ready,' or something similar",,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_061,,0,Red is the colour for danger,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_062,,1,I know the phrase red alert,,,,,,,,,1,,,,,,3,,,,,PR_062,1,I know the phrase red alert,,,,,,,,,1,,,,
PR_063,,1,Thinking of it,,,,,,,,,,,,1,,,3,,,,,PR_063,1,Thinking of it,,,,,,,,,,,1,,
PR_064,,0,From what I‚ seen when the phrase was said in films,,,,,,,1,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_065,,1,THAT'S WHAT RED ALERT USUALLY MEANS,,,,,,,,1,1,,,,,,4,,,,,PR_065,1,THAT'S WHAT RED ALERT USUALLY MEANS,,,,,,,,1,1,,,,
PR_066,,1,It is a term I have heard.,,,,,,,,,1,,,,,,3,,,,,PR_066,1,It is a term I have heard.,,,,,,,,,1,,,,
PR_067,,1,Thinking,,,,,,,,,,,,1,,,4,,,,,PR_067,1,Thinking,,,,,,,,,,,1,,
PR_068,,0,Hollywood tv and movies,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_069,,1,reading,,,,,,,1,,,,,1,,,4,,,,,PR_069,1,reading,,,,,,,1,,,,1,,
PR_070,,0,common phrase,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_071,,0,I know the expression,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_072,,1,Red is normally associated with severe feelings,,1,,1,,,,,,,,,,,3,,,,,PR_072,1,Red is normally associated with severe feelings,,,1,1,,,,,,,,,
PR_073,,0,Thinking/couloir association,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_074,,1,history,,,,,1,,,,1,,,,,,4,,,,,PR_074,1,history,,,,,1,,,,1,,,,
PR_075,,0,i remembered that this is what it means,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_076,,0,"I associate red with emergencies. Pair that with ""alert"" so I concluded it meant to be vigilant.",,1,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_077,,0,I know the danger levels,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_078,,0,Red means stop,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_079,,0,based on my perception,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_080,,0,I see red as caution and danger. Therefore high alert,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_081,,0,What res majorly signifies,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_082,,0,Red alert mean under attack,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_083,,0,Red alert tends to indicate danger in most cultures,,1,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_084,,0,From past experience of knowing the phrase.,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_085,,0,I know what red alert means.,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_086,,0,Its a well known phrase meaning potential danger,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_087,,1,this is how i think,,,,,,,,,,,1,,,,3,,,,,PR_087,1,this is how i think,,,,,,,,,,1,,,
PR_088,,1,Red alert is a known phrase,,,,,,,,,1,,,,,,3,,,,,PR_088,1,Red alert is a known phrase,,,,,,,,,1,,,,
PR_089,,1,Based on previous questions and what I associate red with,,1,,,,,,,1,,,,,,4,,,,,PR_089,1,Based on previous questions and what I associate red with,,,,1,,,,,1,,,,
PR_090,,1,Experience and real world examples,,,,,1,,,,,,,,,,4,,,,,PR_090,1,Experience and real world examples,,,,,1,,,,,,,,
PR_091,,1,it came to me,,,,,,,,,,1,,,,,4,,,,,PR_091,1,it came to me,,,,,,,,,,1,,,
PR_092,,0,heard of red alert term before,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_093,,1,Well known expression,,,,,,,,,1,,,,,,4,,,,,PR_093,1,Well known expression,,,,,,,,,1,,,,
PR_094,,0,"As a well used and recognised phrase, I already have an assumption about this.",,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_095,,0,By being creative,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,
PR_096,,1,Gut reaction again to the phrase,,,,,,,,,,1,1,,,,3,,,,,PR_096,1,Gut reaction again to the phrase,,,,,,,,,,1,,,
PR_097,,0,Used commonly in social context,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_098,,0,Common phrase,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_099,,0,I associated red colour with the concept of danger,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_100,,1,Usually what it means in shows and movies,,,,,,,1,1,1,,,,,,3,,,,,PR_100,1,Usually what it means in shows and movies,,,,,,,1,1,1,,,,
PR_101,,0,Based on watching news and drama,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_102,,0,The colour red,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_103,,0,a google search,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,
PR_104,,1,This is an expression Ive heard before.,,,,,,,,,1,,,,,,3,,,,,PR_104,1,This is an expression Ive heard before.,,,,,,,,,1,,,,
PR_105,,1,It's a convention of which I am aware.,,,,,,1,,,,,,,,,3,,,,,PR_105,1,It's a convention of which I am aware.,,,,,,1,,,,,,,
PR_106,,0,confidently,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,
PR_107,,0,Red is a bad/danger colour.,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_108,,1,known saying and phrase,,,,,,,,,1,,,,,,3,,,,,PR_108,1,known saying and phrase,,,,,,,,,1,,,,
PR_109,,0,Thought about it,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,
PR_110,,0,I thought about the usage history of the colour in my daily life.,,,,,1,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_111,,1,I know the idiom,,,,,,,,,1,,,,,,3,,,,,PR_111,1,I know the idiom,,,,,,,,,1,,,,
PR_112,,0,usage in modern culture and society,,,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_113,,1,Red neans danger,,,,,,,,1,,,,,,,4,,,,,PR_113,1,Red neans danger,,,,,,,,1,,,,,
PR_114,,0,Based on my own experiences,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_115,,0,memory,,,,,1,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_116,,1,Common use of red,,,,,,,,,1,,,,,,3,,,,,PR_116,1,Common use of red,,,,,,,,,1,,,,
PR_117,,0,Knowledge.,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_118,,0,Heard it before,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_119,,1,"Red equals danger, violence or alertness",,1,,,,,,,,,,,,,3,,,,,PR_119,1,"Red equals danger, violence or alertness",,,,1,,,,,,,,,
PR_120,,1,It is a common phrase,,,,,,,,,1,,,,,,3,,,,,PR_120,1,It is a common phrase,,,,,,,,,1,,,,
PR_121,,0,I answered based on my previous knowledge of the phrase itself as I have heard it used before many times.,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_122,,0,Its an old saying,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_123,,0,"Based on previous knowledge of the term ""on red alert"".",,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_124,,0,Preconceived ideas,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,
PR_125,,1,Red means danger,,1,,,,,,,,,,,,,3,,,,,PR_125,1,Red means danger,,,,1,,,,,,,,,
PR_126,,0,It is a very commonly used term for a danger warning,,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_127,,0,just red alert meaning dangerous situation arising,,1,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_128,,0,informative,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,
PR_129,,0,From things I've heard during my life,,,,,1,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_130,,0,Its a common phrase,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_131,,1,I just thought that that‚ what they say,,,,,,1,,,1,,,,,,3,,,,,PR_131,1,I just thought that that‚ what they say,,,,,,1,,,1,,,,
PR_132,,1,I think I have heard the phrase before and understand what it means.,,,,,,,,1,1,,,,,,3,,,,,PR_132,1,I think I have heard the phrase before and understand what it means.,,,,,,,,1,1,,,,
PR_133,,0,I have heard the phrase before,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_134,,0,In the army we were on red alert at some given times,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_135,,1,I knew the expression from the past,,,,,,,,,1,,,,,,3,,,,,PR_135,1,I knew the expression from the past,,,,,,,,,1,,,,
PR_136,,1,Use of common phrase,,,,,,,,,1,,,,,,3,,,,,PR_136,1,Use of common phrase,,,,,,,,,1,,,,
PR_137,,0,"Tradition, as it is used to inform us of threat and that care needs to be taken",,1,,,,1,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_138,,0,It's a phrase often used,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_139,,1,i have heard this saying a lot in my life,,,,,,,,,1,,,,,,3,,,,,PR_139,1,i have heard this saying a lot in my life,,,,,,,,,1,,,,
PR_140,,0,It's a familiar phrase,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_141,,1,Dialogue from Star Trek,,,,,,,1,,,,,,,,4,,,,,PR_141,1,Dialogue from Star Trek,,,,,,,1,,,,,,
PR_142,,1,Knew the pvrase,,,,,,,,,1,,,,,,3,,,,,PR_142,1,Knew the pvrase,,,,,,,,,1,,,,
PR_143,,0,experience,,,,,1,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_144,,0,"Using my perception of the color, plus I think i've heard the expression ""red alert"" before.",1,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
PR_145,,0,From hearing how the phrase is used and when it is used,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,
PR_146,,1,I know the phrase.,,,,,,,,,1,,,,,,3,,,,,PR_146,1,I know the phrase.,,,,,,,,,1,,,,
PR_147,,1,I have heard of that saying before,,,,,,,,,1,,,,,,3,,,,,PR_147,1,I have heard of that saying before,,,,,,,,,1,,,,
PR_148,,0,Knowing the phrase.,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,
