,,,,27,47,2,7,15,21,28,52,163,14,12,13,8,5,,,,,,COLORBLIND,,,10,2,4,17,9,6,8,12,71,9,5,3,5
,,,,,,,,,,,,,,,,,,,,,,,PR_039,0,Red usually associated with emergencies,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_040,0,Previous knowledge,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_041,0,"My perception of the color red and ""on red alert"" is a common phrase that I've heard and seen used many times.",1,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_043,0,From years of literature and television and movies hearing the phrase red alert,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_044,0,"From prior knowledge on the meaning of ""red alert"".",,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_046,0,"a well known saying red is used as it can be seen from afar, represents fire and therefore danger (be aware)",1,,,1,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_047,0,"It's something I've picked up from media - movies, videogames etc.",,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_048,0,By using how I feel.,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_049,0,General knowledge,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_050,0,having heard the phrase many times in my life,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_052,0,I have heard this used many times and Red Alert is a common phrase.,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_053,0,Red is the color associated with danger,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_054,0,I wrote it down.,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,PR_055,0,It is a phrase,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_057,0,Common association,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_058,0,Just based on what I know 'on red alert' to mean,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_059,0,Red being danger so there was a strong likelihood of something happening immediately,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_060,0,"Because 'Red Alert' is a military/naval code for 'be ready,' or something similar",,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_061,0,Red is the colour for danger,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_064,0,From what I‚ seen when the phrase was said in films,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_068,0,Hollywood tv and movies,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_070,0,common phrase,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_071,0,I know the expression,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_073,0,Thinking/couloir association,,,1,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_075,0,i remembered that this is what it means,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_076,0,"I associate red with emergencies. Pair that with ""alert"" so I concluded it meant to be vigilant.",,,,1,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_077,0,I know the danger levels,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_078,0,Red means stop,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_079,0,based on my perception,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_080,0,I see red as caution and danger. Therefore high alert,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_081,0,What res majorly signifies,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_082,0,Red alert mean under attack,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_083,0,Red alert tends to indicate danger in most cultures,,,,1,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_084,0,From past experience of knowing the phrase.,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_085,0,I know what red alert means.,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_086,0,Its a well known phrase meaning potential danger,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_092,0,heard of red alert term before,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_094,0,"As a well used and recognised phrase, I already have an assumption about this.",,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_095,0,By being creative,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_097,0,Used commonly in social context,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_098,0,Common phrase,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_099,0,I associated red colour with the concept of danger,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_101,0,Based on watching news and drama,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_102,0,The colour red,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_103,0,a google search,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_106,0,confidently,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,PR_107,0,Red is a bad/danger colour.,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_109,0,Thought about it,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,PR_110,0,I thought about the usage history of the colour in my daily life.,,,,,1,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_112,0,usage in modern culture and society,,,,,,1,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_114,0,Based on my own experiences,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_115,0,memory,,,,,1,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_117,0,Knowledge.,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_118,0,Heard it before,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_121,0,I answered based on my previous knowledge of the phrase itself as I have heard it used before many times.,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_122,0,Its an old saying,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_123,0,"Based on previous knowledge of the term ""on red alert"".",,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_124,0,Preconceived ideas,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_126,0,It is a very commonly used term for a danger warning,,,,1,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_127,0,just red alert meaning dangerous situation arising,,,,1,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_128,0,informative,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,PR_129,0,From things I've heard during my life,,,,,1,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_130,0,Its a common phrase,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_133,0,I have heard the phrase before,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_134,0,In the army we were on red alert at some given times,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_137,0,"Tradition, as it is used to inform us of threat and that care needs to be taken",,,,1,,1,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_138,0,It's a phrase often used,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_140,0,It's a familiar phrase,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_143,0,experience,,,,,1,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_144,0,"Using my perception of the color, plus I think i've heard the expression ""red alert"" before.",1,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_145,0,From hearing how the phrase is used and when it is used,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_148,0,Knowing the phrase.,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_204,0,well used saying for many years,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_205,0,Have heard the phrase before,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_206,0,Read it a few times,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_207,0,I have heard the phrase before,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_209,0,Red is a phrase associated with an extremely high temperature,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_210,0,Thought about that term before,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_211,0,Knowledge of the phrase.,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_212,0,NA,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,PR_213,0,Movies,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_215,0,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_218,0,From a movie reference and it‚Äôs meaning,,,,,,,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_220,0,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,PR_221,0,based on what I have heard,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,PR_222,0,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,PR_223,0,Red is the colour of alert,,,,1,,,,,,,,,